Fiber
Value
2
2
2
2
2
2
2
1
1
1
0
2
0
2
0
2
0
0
2
2
1
1
2
1
1
0
0
0
0
0
3
3
2.7430985743461402
2.333571298755826
2.645182325744791
2.8123691306874385
2.7383929577420925
2.7082238792786555
3.14
3.05
2.99
2.83
2.73
2.93
2.57
3.16
2.59
2.92
2.2
2.38
2.5
2.46
3.06
2.39
3.14
2.4
3.24
2.56
2.6
3.27
3.1
2.66
2.85
2.97
2.52
2.28
3.17
3.07
2.53
2.71
3.04
